,Sun,Mon,Tue,Wed,Thu,Fri,Sat
0h,35 km/h,37 km/h,36 km/h,36 km/h,36 km/h,36 km/h,36 km/h
1h,37 km/h,39 km/h,38 km/h,37 km/h,38 km/h,38 km/h,38 km/h
2h,39 km/h,40 km/h,39 km/h,39 km/h,39 km/h,39 km/h,39 km/h
3h,40 km/h,41 km/h,40 km/h,39 km/h,40 km/h,39 km/h,40 km/h
4h,39 km/h,40 km/h,39 km/h,38 km/h,38 km/h,37 km/h,38 km/h
5h,37 km/h,37 km/h,36 km/h,35 km/h,36 km/h,35 km/h,35 km/h
6h,36 km/h,37 km/h,35 km/h,35 km/h,35 km/h,34 km/h,35 km/h
7h,35 km/h,32 km/h,32 km/h,32 km/h,32 km/h,32 km/h,34 km/h
8h,34 km/h,28 km/h,27 km/h,28 km/h,28 km/h,28 km/h,31 km/h
9h,32 km/h,25 km/h,24 km/h,24 km/h,25 km/h,25 km/h,29 km/h
10h,31 km/h,25 km/h,24 km/h,24 km/h,25 km/h,24 km/h,27 km/h
11h,29 km/h,24 km/h,23 km/h,23 km/h,24 km/h,24 km/h,25 km/h
12h,28 km/h,24 km/h,23 km/h,23 km/h,24 km/h,24 km/h,24 km/h
13h,27 km/h,24 km/h,23 km/h,23 km/h,24 km/h,24 km/h,23 km/h
14h,27 km/h,25 km/h,23 km/h,23 km/h,24 km/h,24 km/h,23 km/h
15h,26 km/h,25 km/h,23 km/h,23 km/h,24 km/h,23 km/h,23 km/h
16h,25 km/h,24 km/h,23 km/h,23 km/h,23 km/h,22 km/h,23 km/h
17h,25 km/h,21 km/h,20 km/h,20 km/h,21 km/h,20 km/h,22 km/h
18h,25 km/h,21 km/h,20 km/h,20 km/h,20 km/h,20 km/h,22 km/h
19h,25 km/h,23 km/h,21 km/h,21 km/h,22 km/h,21 km/h,22 km/h
20h,27 km/h,26 km/h,25 km/h,25 km/h,25 km/h,24 km/h,24 km/h
21h,30 km/h,30 km/h,29 km/h,29 km/h,29 km/h,28 km/h,28 km/h
22h,32 km/h,32 km/h,32 km/h,31 km/h,32 km/h,31 km/h,30 km/h
23h,35 km/h,34 km/h,34 km/h,33 km/h,34 km/h,33 km/h,32 km/h
