Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20320607,Swaad,Sector 4,Delhi NCR,6168884918,"11:38 PM, September 10 2024",Delivered,Zomato Delivery,3km,"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",,40% off upto Rs.80,715.0,31.75,80.0,0.0,0.0,0.0,666.75,,,,,,18.35,11.6,Correctly,,5d6c2b96db963098bc69768bea504c8bf46106a8a5178edf91a42e66a8179458
20320607,Swaad,Sector 4,Delhi NCR,6170707559,"11:34 PM, September 10 2024",Delivered,Zomato Delivery,2km,"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",,Flat Rs.175 off,1179.0,50.2,175.0,0.0,0.0,0.0,1054.2,,,,,,16.95,3.6,Correctly,,0781815deb4a10a574e9fee4fa0b86b074d4a0b36175d5a626dbc4710568bff4
20320607,Swaad,Sector 4,Delhi NCR,6169375019,"03:52 PM, September 10 2024",Delivered,Zomato Delivery,<1km,1 x Bone in Peri Peri Grilled Chicken,,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,,,,,14.05,12.2,Correctly,,f93362f5ce5382657482d164e368186bcec9c6225fd93d374453a2e6983151de
20320607,Swaad,Sector 4,Delhi NCR,6151677434,"03:45 PM, September 10 2024",Delivered,Zomato Delivery,2km,"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",,40% off upto Rs.80,620.0,27.0,80.0,0.0,0.0,0.0,567.0,4.0,,,,,19.0,3.3,Correctly,,1ed226d1b8a5f7acee12fc1d6676558330a3b2b742af5d5c9d3ea550397d49ac
20320607,Swaad,Sector 4,Delhi NCR,6167540897,"03:04 PM, September 10 2024",Delivered,Zomato Delivery,2km,"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",,40% off upto Rs.80,584.0,25.2,80.0,0.0,0.0,0.0,529.2,,,,,,15.97,1.0,Correctly,,d21a2ac6ea06b31cc3288ab20c4ef2f292066c096f2c5f110a3098eeb39596d9
20320999,Foodies Express,Sector 5,Delhi NCR,7000000001,"12:10 PM, April 22 2025",Delivered,Zomato Delivery,1km,"1 x Veg Biryani, 1 x Butter Naan",,20% off upto Rs.50,410.0,15.0,50.0,0.0,0.0,0.0,375.0,,,,,,13.5,1.5,Correctly,,samplecid01
20320999,Foodies Express,Sector 5,Delhi NCR,7000000002,"01:25 PM, April 22 2025",Delivered,Zomato Delivery,1km,"1 x Paneer Tikka, 1 x Masala Lemonade",,30% off upto Rs.75,520.0,20.0,75.0,0.0,0.0,0.0,465.0,,,,,,17.2,2.2,Correctly,,samplecid02
20320999,Foodies Express,Sector 5,Delhi NCR,7000000003,"06:40 PM, April 22 2025",Delivered,Zomato Delivery,2km,"1 x Chicken Kathi Roll, 1 x Coke",,Flat Rs.100 off,599.0,25.0,100.0,0.0,0.0,0.0,524.0,,,,,,15.0,2.0,Correctly,,samplecid03
20320999,Foodies Express,Sector 5,Delhi NCR,7000000004,"09:50 PM, April 22 2025",Delivered,Zomato Delivery,3km,"1 x Chicken Biryani, 1 x Raita",,40% off upto Rs.80,699.0,30.0,80.0,0.0,0.0,0.0,649.0,,,,,,20.3,3.5,Correctly,,samplecid04
20320999,Foodies Express,Sector 5,Delhi NCR,7000000005,"10:45 AM, April 22 2025",Delivered,Zomato Delivery,<1km,"1 x Idli Sambar, 1 x Filter Coffee",,15% off upto Rs.30,250.0,10.0,30.0,0.0,0.0,0.0,230.0,,,,,,10.9,0.5,Correctly,,samplecid05
