Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6185981668,"02:30 PM, September 16 2024",Delivered,Zomato Delivery,5km,"1 x Garlic Aioli, 1 x Jamaican Sauce, 1 x Grilled Chicken Jamaican Tender, 1 x Harisa Mayo, 1 x Animal Fries, 1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Peri Peri Tender",,Flat Rs.175 off,1555.0,69.0,175.0,0.0,0.0,0.0,1449.0,,,,,,27.95,5.1,Correctly,,8a2e2113b063295b1e5a0edff2016ee21d5b987cc65dc600621a35bae94dcf4d,7
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6188620925,"12:03 PM, September 19 2024",Delivered,Zomato Delivery,6km,"1 x Murgh Amritsari Seekh Pide, 2 x Masala Paneer Pide, 1 x Masala Omelette Pide, 2 x All About Chicken Pizza, 1 x OG Cheese Pide",,Buy 1 Get 1 - ₹1527.00,1846.0,92.3,0.0,0.0,0.0,0.0,1938.3,,,,,,34.18,6.1,Correctly,,058c5e203951d955270d261ccbbe162804991db7eb362a1be2d5ca6ed011fa3d,7
20659868,Aura Pizzas,Sector 4,Delhi NCR,6175659119,"09:22 PM, September 15 2024",Delivered,Zomato Delivery,9km,"1 x Murgh Amritsari Seekh Pizza, 1 x Harisa Mayo, 2 x Garlic Aioli, 3 x Grilled Tangdis",,Flat 15% off,1616.0,68.68,242.4,0.0,0.0,0.0,1442.28,,,,,,18.43,4.5,Correctly,,d5dcdf072e8bc59aef586fb4f5cb923335bade91f626d670e861dd457f0f715e,7
20659868,Aura Pizzas,Sector 4,Delhi NCR,6169897308,"04:57 PM, September 11 2024",Delivered,Zomato Delivery,9km,"1 x Harisa Mayo, 1 x Salted Fries, 2 x Grilled Tangdis, 1 x Peri Peri Fries, 1 x Murgh Amritsari Seekh Pizza, 1 x Garlic Aioli",,Flat Rs.200 off,1645.0,77.55,94.0,0.0,0.0,0.0,1628.55,,,,,,23.05,7.4,Correctly,,d5dcdf072e8bc59aef586fb4f5cb923335bade91f626d670e861dd457f0f715e,7
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6175930816,"08:33 PM, September 13 2024",Delivered,Zomato Delivery,6km,"1 x Tipsy Tiger Fresh Lime Soda, 1 x Fried Chicken Strips, 1 x Salted Fries, 1 x Tipsy Tiger Ginger Ale, 1 x Margherita Pizza, 1 x Iced Green Tea - Mojito, 1 x All About Chicken Pizza",,Flat Rs.200 off,2069.34,93.47,200.0,0.0,0.0,0.0,1962.81,,,,,,26.33,2.1,Correctly,,85f6085d6befc2a91aab7c696f6735f4ab4dc05f549873ea89df35a41f86fc00,7
20320607,Swaad,Sector 4,Delhi NCR,6202913694,"06:34 PM, September 22 2024",Delivered,Zomato Delivery,9km,"1 x Bone in Jamaican Grilled Chicken, 1 x Smoky BBQ Sauce, 1 x Indian Honey Mustard sauce, 1 x Fried Chicken Classic Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Onion Rings",,Flat Rs.175 off,2239.0,103.2,175.0,0.0,0.0,0.0,2167.2,,,,,,27.7,13.3,Correctly,,98c6c0d1197f9abc6c21038c5bb05c9a2ccf7c4adf82ca4830d7219690c17f44,7
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6242547969,"08:15 PM, October 05 2024",Delivered,Zomato Delivery,5km,"1 x Tripple Cheese Pizza, 1 x Crushed Papad, 2 x Harisa Mayo, 1 x Bageecha Pizza, 1 x Herbed Potato, 1 x Peri Peri Crisper Fries",,Buy 1 Get 1 - ₹669.00,1006.0,50.3,0.0,0.0,0.0,0.0,1056.3,,,,,,41.08,21.0,Correctly,,2f024bd0afbec81b1d14572f618ebc204d029ff36f4a67f598f07cbf681cb4bd,7
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6265330583,"07:41 PM, October 16 2024",Delivered,Zomato Delivery,3km,"1 x Bone in Peri Peri Grilled Chicken, 1 x Salted Fries, 1 x Cafreal dip, 1 x Bone in Jamaican Grilled Chicken, 1 x AAC Signature Fries, 1 x Fried Chicken Classic Tender, 1 x Angara Sauce",,Flat Rs.175 off,1763.0,79.4,175.0,48.0,0.0,0.0,1619.4,,,,,,34.77,11.0,Correctly,Item(s) missing or not delivered,b8d18c27b2efeb2bd1304173d3763bc6f59bfc167f12a2e269c305e6768dc797,7
20659868,Aura Pizzas,Sector 4,Delhi NCR,6262745827,"07:51 PM, October 12 2024",Delivered,Zomato Delivery,3km,"1 x Mushroom Pizza, 1 x Indian Pico De-Gallo, 1 x Garlic Aioli, 1 x Cafreal Sauce, 1 x Bageecha Pizza, 2 x Salted Crisper Fries",,Flat 15% off,1746.0,74.21,261.9,0.0,0.0,0.0,1558.31,,,,,,32.08,12.1,Correctly,,05f95cc132c945f30a3724e47735d87302119059ca1b7fff5efbf6bccab40afd,7
21309083,Swaad,Sector 135,Delhi NCR,6281726939,"07:51 PM, October 19 2024",Delivered,Zomato Delivery,1km,"2 x Garlic Aioli, 1 x Onion Bombs, 1 x AAC Signature Crisper Fries, 1 x Indian Honey Mustard sauce, 1 x Indian Pico De-Gallo, 1 x Onion Rings",,,826.0,25.35,0.0,319.0,0.0,0.0,532.35,,,,,,25.97,0.3,Correctly,,7e9993b6d39146242e85354e8565ba5122fc5f590ecda16e128245be4ddb546b,7
20659868,Aura Pizzas,Sector 4,Delhi NCR,6300558015,"01:54 PM, October 26 2024",Delivered,Zomato Delivery,<1km,"1 x Masala Paneer Pide, 2 x Chilli Cheese Garlic Bread, 2 x Makhani Paneer Pizza, 2 x Bageecha Pizza",,Flat 15% off,4053.0,172.25,607.95,0.0,0.0,0.0,3617.3,,,,,,32.35,5.8,Correctly,,6019283c02cda5339bae039c3c61a08bc243c6583adefa0dd605a53104cc8377,7
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6277835185,"02:07 PM, October 21 2024",Delivered,Zomato Delivery,4km,"3 x Murgh Amritsari Seekh Pizza, 1 x Malai Gud Pide, 1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",,,4202.0,210.1,0.0,0.0,0.0,0.0,4412.1,,,,,,32.85,15.6,Correctly,,d429bb04060384f2f6480bd264ead2929e9b939d9f0362b7a7c05a528ab72e03,7
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6336959648,"12:38 AM, November 10 2024",Delivered,Zomato Delivery,4km,"1 x Herbed Potato, 1 x Chilli Cheese Garlic Bread, 1 x Cheesy Garlic Bread, 1 x Mushroom Mozzarella Melt, 1 x Tripple Cheese Pizza, 1 x Bageecha Pizza, 1 x All About Chicken Pizza",,Flat Rs.200 off,3362.0,158.1,200.0,0.0,0.0,0.0,3320.1,,,,,,28.97,5.4,Correctly,,1b34873cb7038879cd4134b2a881f7e4fef4ee253b5f5d72a8490bb11fa8ac83,7
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6340789472,"11:00 PM, November 09 2024",Delivered,Zomato Delivery,5km,"2 x Jamaican Chicken Melt, 3 x Just Pepperoni Pizza, 2 x Cheesy Garlic Bread",,,4013.0,200.65,0.0,0.0,0.0,0.0,4213.65,,,,,,27.87,2.3,Correctly,,4631c8e99e6d7de6fd0f3d2109f877af2b835d0adf9559fb6ebfe02a0fc9819e,7
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6345858316,"10:46 PM, November 10 2024",Delivered,Zomato Delivery,7km,"1 x Salted Crisper Fries, 1 x Cafreal Sauce, 1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x Peanut Butter Chocolate Pide, 1 x Angara Paneer Melt, 1 x Harisa Mayo",,50% off upto Rs.100,1905.0,90.25,100.0,0.0,0.0,0.0,1895.25,4.0,,,,,25.58,6.2,Correctly,,461d536feeed7ee811fa0cf982034f0361c61f4b2fad0199edbb7d5626f43aa0,7
20882713,Swaad,DLF Phase 1,Delhi NCR,6337043844,"08:32 PM, November 08 2024",Delivered,Zomato Delivery,8km,"2 x Salted Crisper Fries, 2 x Fried Chicken Peri Peri Tender, 3 x Salted Fries .",,,1785.0,89.25,0.0,0.0,0.0,0.0,1874.25,,,,,,37.89,7.4,Incorrectly,,a015dd1b652a390b54916d6cdf35e01a6dc379cb157b7f225609355278fbcdf3,7
20882713,Swaad,DLF Phase 1,Delhi NCR,6333321727,"08:41 PM, November 06 2024",Delivered,Zomato Delivery,4km,"1 x Bone in Peri Peri Grilled Chicken, 1 x Mayonnaise, 1 x India Dynamite sauce, 1 x Fried Chicken Ghostbuster Tender, 1 x Garlic Aioli, 1 x Bone in Jamaican Grilled Chicken, 1 x Cafreal dip",,Flat Rs.175 off,1175.0,50.0,175.0,0.0,0.0,0.0,1050.0,,,,,,36.39,1.5,Correctly,,2564813e9a90c45afdc90bc8b3fcd62e6f887d2d2f5c43343338fb5895beb6ab,7
20882713,Swaad,DLF Phase 1,Delhi NCR,6357228865,"09:37 PM, November 14 2024",Delivered,Zomato Delivery,8km,"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 2 x Angara Sauce, 1 x Fried Chicken Kabuli Tender, 2 x Bone in Angara Grilled Chicken",,Flat Rs.175 off,1714.0,76.95,175.0,0.0,0.0,0.0,1615.95,,,,,,32.17,3.0,Correctly,,b87b115e3d8d4679f33d4d5a27da20af3a25c7e270b9f88f65056fd489c84346,7
